Nhóm nghĩa loại,Chủ đề lớn (TV),Chủ đề con (TV),
Thiên nhiên - Vật chất,Thành ngữ về mười hai con giáp,Thành ngữ về chuột (Tý),三蛇七鼠     两鼠斗穴     以狸至鼠     以狸致鼠     以狸饵鼠     以貍至鼠     偃鼠饮河     十鼠同穴     城狐社鼠     奉头鼠窜     孤豚腐鼠     孤雏腐鼠     官仓老鼠     投鼠之忌     投鼠忌器     抱头鼠窜     捉鼠拿猫     捧头鼠窜     掉头鼠窜     掘室求鼠     掷鼠忌器     梧鼠之技     梧鼠五技     梧鼠技穷     狐凭鼠伏     狐奔鼠窜     狐潜鼠伏     狐鼠之徒     狗偷鼠窃     狗头鼠脑     狗盗鼠窃     狗逮老鼠     狼奔鼠偷     狼奔鼠窜     狼眼鼠眉     狼贪鼠窃     猫哭老鼠     猫鼠同乳     猫鼠同处     猫鼠同眠     獐头鼠目     目光如鼠     相鼠有皮     社鼠城狐     稷蜂社鼠     穷鼠啮狸     罗雀掘鼠     老鼠过街     胆小如鼠     虫臂鼠肝     蚁溃鼠骇     蛇头鼠眼     蝇营鼠窥     貊乡鼠壤     貊乡鼠攘     贼头鼠脑     贼眉鼠眼     过街老鼠     进退首鼠     雀目鼠步     雀角鼠牙     雀鼠之争     雉伏鼠窜     饮河鼹鼠     首鼠两端     马捉老鼠     鸟惊鼠窜     鸟骇鼠窜     鸮鸣鼠暴     鸱张鼠伏     鸱鸦嗜鼠     鼠偷狗盗     鼠入牛角     鼠凭社贵     鼠啮虫穿     鼠啮蠹蚀     鼠屎汙羹     鼠屎污羹     鼠心狼肺     鼠牙雀角     鼠盗狗窃     鼠目寸光     鼠目獐头     鼠目麞头     鼠穴寻羊     鼠窃狗偷     鼠窃狗盗     鼠窜狗盗     鼠窜狼奔     鼠窜蜂逝     鼠肚鸡肠     鼠肝虫臂     鼠腹蜗肠     鼠腹鸡肠     鼠臂虮肝     鼠迹狐踪     鼠雀之牙     鼠雀之辈     鼠首偾事     鼠齧虫穿     鼠齧蠹蚀     鼷鼠饮河
,,Thành ngữ về trâu (Sửu),一牛九锁     一牛吼地     一牛鸣一     一牛鸣地     九牛一毛     九牛一毫     买牛卖剑     买牛息戈     争猫丢牛     亡羊得牛     以羊易牛     休牛归马     休牛散马     充栋汗牛     兔角牛翼     卖剑买牛     吴牛喘月     吹牛拍马     呼牛作马     呼牛呼马     喘月吴牛     土牛木马     壮气吞牛     多如牛毛     如牛负重     对牛弹琴     对牛鼓簧     屠所牛羊     带牛佩犊     床下牛斗     庖丁解牛     归马放牛     搏牛之虻     放牛归马     散马休牛     敲牛宰马     服牛乘马     椎牛发冢     椎牛歃血     椎牛飨士     槌牛酾酒     气克斗牛     气冲斗牛     气冲牛斗     气吞牛斗     气喘如牛     气壮如牛     汗牛充屋     汗牛充栋     汗牛塞栋     泥牛入海     版筑饭牛     牛之一毛     牛农对泣     牛刀割鸡     牛刀小试     牛口之下     牛听弹琴     牛头马面     牛星织女     牛毛细雨     牛溲马勃     牛溲马渤     牛童马走     牛羊勿践     牛衣夜哭     牛衣对泣     牛衣岁月     牛衣病卧     牛角之歌     牛角书生     牛角挂书     牛蹄中鱼     牛蹄之涔     牛蹄之鱼     牛郎织女     牛马襟裾     牛骥共牢     牛骥同槽     牛骥同皁     牛骥同皂     牛高马大     牛鬼蛇神     牛黄狗宝     牛鼎烹鸡     牵牛下井     牵牛织女     犀照牛渚     犀牛望月     犁牛之子     犁牛骍角     瘠牛羸豚     目无全牛     目牛无全     童牛角马     羞以牛后     老牛破车     老牛舐犊     茧丝牛毛     蜗行牛步     裾马襟牛     襟裾马牛     蹊田夺牛     钻牛角尖     问牛知马     饭牛屠狗     马勃牛溲     马浡牛溲     马牛其风     马牛襟裾     马面牛头     骑牛觅牛     鲸吸牛饮     鸡口牛后     鸡尸牛从     鼠入牛角     齐王舍牛
,,Thành ngữ về hổ (Dần),一虎不河     三人成虎     三言讹虎     与虎添翼     与虎谋皮     两虎相争     两虎相斗     为虎作伥     为虎傅翼     为虎添翼     乔龙画虎     九关虎豹     九阍虎豹     云龙风虎     人中龙虎     以肉啖虎     以肉喂虎     以肉餧虎     众虎同心     假虎张威     养虎为患     养虎伤身     养虎留患     养虎自啮     养虎自残     养虎自毙     养虎自齧     养虎贻患     养虎遗患     冯河暴虎     凤叹虎视     刺虎持鹬     割肉饲虎     势成骑虎     卧虎藏龙     垂饵虎口     如狼似虎     如狼如虎     如虎傅翼     如虎得翼     如虎添翼     如虎生翼     如龙似虎     委肉虎蹊     开柙出虎     引狼拒虎     引虎入室     引虎拒狼     引虎自卫     打虎牢龙     投畀豺虎     拒狼进虎     捉虎擒蛟     握蛇骑虎     放虎遗患     敲山振虎     敲山震虎     断蛟刺虎     杨虎围匡     杯弓市虎     柙虎樊熊     潜龙伏虎     照猫画虎     熊据虎跱     熊腰虎背     燕颔虎头     燕颔虎须     燕颔虎颈     燕额虎头     狐藉虎威     狼前虎后     狼吞虎咽     狼吞虎噬     狼吞虎餐     狼虫虎豹     狼顾虎视     狼飡虎咽     狼飡虎食     狼飧虎咽     狼餐虎咽     狼餐虎噬     猛虎出山     猛虎深山     甘冒虎口     生龙活虎     画虎刻鹄     畏敌如虎     离山调虎     纵虎出匣     纵虎出柙     纵虎归山     绣虎雕龙     羊入虎群     羊落虎口     羊质虎皮     舄乌虎帝     虎兕出柙     虎党狐侪     虎变龙蒸     虎据龙蟠     虎掷龙拿     虎步龙行     虎狼之势     虎略龙韬     虎穴狼巢     虎窟龙潭     虎荡羊群     虎视眈眈     虎超龙骧     虎踞鲸吞     虎踞龙蟠     谈虎色变     豕虎传讹     豺狼虎豹     豺虎肆虐     身寄虎吻     酒虎诗龙     酒龙诗虎     除狼得虎     雕虎焦原     饿虎擒羊     驱羊攻虎     骏波虎浪     骑虎难下     鱼鲁帝虎     鲁鱼帝虎     鲸吞虎噬     鸱视虎顾     鹰扬虎噬     鹰扬虎视     鹰瞵虎攫     鹰瞵虎视     鹰视虎步     麟角虎翅     龙争虎战     龙争虎斗     龙化虎变     龙吟虎啸     龙幡虎纛     龙战虎争     龙拏虎掷     龙拏虎攫     龙拏虎跳     龙江虎浪     龙潭虎穴     龙潭虎窟     龙盘虎拏     龙盘虎踞     龙睁虎眼     龙精虎猛     龙翔虎跃     龙腾虎啸     龙腾虎掷     龙腾虎踞     龙腾虎踯     龙腾虎蹴     龙虎风云     龙蟠虎伏     龙蟠虎绕     龙蟠虎踞     龙行虎变     龙跃虎踞     龙跧虎卧     龙跳虎伏     龙跳虎卧     龙蹲虎踞     龙飞虎跳     龙驰虎骤     龙骧虎啸     龙骧虎步     龙骧虎视     龙骧虎跱
,,Thành ngữ về thỏ (Mão),一雕双兔     东兔西乌     东门逐兔     乌踆兔走     乌飞兔走     兔丝燕麦     兔头麞脑     兔死凫举     兔死犬饥     兔死狐悲     兔死狗烹     兔缺乌沉     兔葵燕麦     兔角牛翼     兔角龟毛     兔走乌飞     兔走鹘落     兔起乌沉     兔起凫举     兔起鹘落     动如脱兔     势若脱兔     守株待兔     待兔守株     得兔忘蹄     惊猿脱兔     犬兔俱毙     狐兔之悲     狐死兔泣     狡兔三穴     狡兔三窟     狼奔兔脱     白兔赤乌     目兔顾犬     获兔烹狗     见兔放鹰     见兔顾犬     龟毛兔角
,,Thành ngữ về rồng (Thìn),一龙一猪     乘龙配凤     事火咒龙     云蒸龙变     云起龙襄     人中龙虎     凤子龙孙     凤楼龙阙     凤毛龙甲     凤狂龙躁     凤箫龙管     凤翥龙翔     凤翥龙蟠     凤翥龙骧     凤臆龙鬐     凤舞龙蟠     凤舞龙飞     凤附龙攀     凤骨龙姿     凤髓龙肝     土龙沐猴     如龙似虎     尸居龙见     屠龙之伎     岁在龙虵     岁在龙蛇     打凤牢龙     打虎牢龙     托凤攀龙     批逆龙鳞     掷杖成龙     描龙绣凤     攀龙讬凤     攀龙附骥     日角龙庭     日角龙颜     曼衍鱼龙     活龙鲜健     流水游龙     潜龙伏虎     火龙黼黻     炮龙烹凤     烹龙庖凤     烹龙煮凤     烹龙砲凤     画龙刻鹄     真龙天子     真龙活现     矫若游龙     砲凤烹龙     砲龙烹凤     祖龙之虐     神龙失埶     神龙见首     神龙马壮     笔底龙蛇     绣虎雕龙     舞凤飞龙     虎变龙蒸     虎据龙蟠     虎掷龙拿     虎步龙行     虎略龙韬     虎窟龙潭     虎超龙骧     虎踞龙蟠     蛟龙戏水     贯斗双龙     酒虎诗龙     酒龙诗虎     附凤攀龙     雀马鱼龙     青龙金匮     飞龙乘云     飞龙在天     马水车龙     马足龙沙     骇龙走蛇     骑龙弄凤     鱼升龙门     鱼质龙文     鱼跃龙门     鱼龙变化     鱼龙曼延     鱼龙曼羡     鱼龙漫衍     鱼龙百变     鹤骨龙筋     黄龙痛饮     鼎成龙升     鼎成龙去     鼎湖龙去     龙举云兴     龙举云属     龙争虎战     龙伸蠖屈     龙兴云属     龙兴凤举     龙化虎变     龙去鼎湖     龙多乃旱     龙头锯角     龙姿凤采     龙威燕颔     龙威虎震     龙屈蛇伸     龙幡虎纛     龙御上宾     龙德在田     龙心凤肝     龙战玄黄     龙战虎争     龙战鱼骇     龙拏虎掷     龙拏虎攫     龙拏虎跳     龙攀凤附     龙断之登     龙断可登     龙楼凤城     龙楼凤池     龙楼凤阁     龙楼凤阙     龙江虎浪     龙游曲沼     龙潜凤采     龙生九子     龙生九种     龙盘凤翥     龙盘凤舞     龙盘凤逸     龙盘虎拏     龙眉凤目     龙眉豹颈     龙睁虎眼     龙神马壮     龙章凤函     龙章凤彩     龙章秀骨     龙章麟角     龙精虎猛     龙翔凤翥     龙翔凤舞     龙翔凤跃     龙翔虎跃     龙翰凤翼     龙翰凤雏     龙胡之痛     龙腾凤集     龙腾虎啸     龙腾虎掷     龙腾虎踞     龙腾虎踯     龙腾虎蹴     龙腾豹变     龙荒朔漠     龙荒蛮甸     龙虎风云     龙蛇飞舞     龙蛰蠖屈     龙蟠凤翥     龙蟠虎伏     龙蟠虎绕     龙蟠虎踞     龙蟠虬结     龙血凤髓     龙行虎变     龙言凤语     龙跃虎踞     龙跃鸿矫     龙跧虎卧     龙跳虎伏     龙蹲虎踞     龙门点额     龙阳泣鱼     龙雏凤种     龙雕凤咀     龙颜凤姿     龙飞凤翔     龙飞凤翥     龙飞虎跳     龙首豕足     龙驭上宾     龙驰虎骤     龙骧凤矫     龙骧虎啸     龙骧虎跱     龙骧蠖屈     龙骧豹变     龙骧麟振     龙鬼蛇神     龟龙麟凤
,,Thành ngữ về rắn (Tỵ),一蛇两头     一龙一蛇     三蛇七鼠     为蛇添足     为蛇画足     佛口蛇心     佛心蛇口     养虺成蛇     壁间蛇影     封豕长蛇     封豨修蛇     岁在龙蛇     弓影杯蛇     惊蛇入草     打草惊蛇     打草蛇惊     握蛇骑虎     斗折蛇行     春蚓秋蛇     春蛇秋蚓     杯中蛇影     杯弓蛇影     杯影蛇弓     杯蛇幻影     杯蛇鬼车     枭蛇鬼怪     毒蛇猛兽     灵蛇之珠     牛鬼蛇神     画蛇添足     画蛇著足     笔底龙蛇     笔走龙蛇     膝语蛇行     草蛇灰线     虎头蛇尾     虚与委蛇     蛇口蜂针     蛇头鼠眼     蛇影杯弓     蛇心佛口     蛇欲吞象     蛇蝎为心     蛇蝎心肠     蛇食鲸吞     行行蛇蚓     豕分蛇断     贪蛇忘尾     长虺成蛇     长蛇封豕     飞鸟惊蛇     骇龙走蛇     鲸吞蛇噬     龙头蛇尾     龙屈蛇伸     龙蛇混杂     龙蛇飞动     龙蛇飞舞     龙鬼蛇神
,,Thành ngữ về ngựa (Ngọ),一马一鞍     下马冯妇     东风马耳     临崖勒马     丹书白马     乌头马角     乌焉成马     买马招兵     买马招军     二童一马     五花杀马     人喊马嘶     人荒马乱     人语马嘶     代马望北     以毛相马     以渴服马     以鹿为马     休牛归马     休牛散马     倚马千言     光车骏马     励兵秣马     匹马一麾     千兵万马     单枪独马     历兵秣马     历兵粟马     厉兵粟马     司马称好     吹牛拍马     呼牛作马     善马熟人     塞翁之马     塞翁得马     大马金刀     天粟马角     失马塞翁     尻舆神马     得马失马     得马折足     得马生灾     悬兵束马     悬车束马     戎马仓皇     戎马倥傯     戎马劻勷     戎马生涯     戎马生郊     拍马溜须     招军买马     拿下马来     持戈试马     放马华阳     效犬马力     散马休牛     敲牛宰马     文君司马     斗鸡走马     朽索驭马     杀马毁车     权移马鹿     束兵秣马     束马县车     枕戈汗马     枚速马工     横刀跃马     横戈盘马     横枪跃马     止戈散马     毁车杀马     汗马之功     汗马之劳     泥车瓦马     洗兵牧马     燕昭好马     牛溲马渤     牛童马走     牛马襟裾     牛高马大     犬马之决     犬马之年     犬马之恋     犬马之疾     犬马之诚     犬马恋主     狗马声色     班马文章     瞎马临池     砺戈秣马     神龙马壮     秋高马肥     窗间过马     立马万言     竹马之交     策马飞舆     系马埋轮     素丝良马     膏车秣马     舞刀跃马     衣马轻肥     裘马声色     裘马清狂     裘马轻狂     裾马襟牛     襟裾马牛     讳树数马     识涂老马     识途老马     谷马砺兵     走马到任     跃马弯弓     跃马扬鞭     跑马观花     车尘马迹     车怠马烦     车马填门     车马辐辏     车马骈阗     软裘快马     选兵秣马     金马玉堂     铁马金戈     铜围铁马     雀马鱼龙     青丝白马     青衫司马     风吹马耳     风车云马     风车雨马     风马不接     风马云车     飞鹰走马     食马留肝     饮马投钱     饮马长江     马中关五     马入华山     马到功成     马去马归     马咽车阗     马壮人强     马如流水     马如游鱼     马尘不及     马毛猬磔     马毛蝟磔     马水车龙     马浡牛溲     马牛其风     马翻人仰     马耳春风     马腹逃鞭     马足车尘     马足龙沙     马迟枚疾     马革盛尸     马首欲东     马齿徒长     驰马试剑     驴唇马觜     驴年马月     驷马不追     驷马仰秣     驷马莫追     驷马轩车     驷马高盖     驷马高门     驽马十舍     驽马恋栈     骑马寻马     高头大马     鲜衣怒马     鲜衣良马     鲜车健马     龙神马壮
,,Thành ngữ về dê (Mùi),买王得羊     争鸡失羊     亡羊之叹     亡羊得牛     亡羊补牢     以羊易牛     使羊将狼     十羊九牧     卖狗悬羊     告朔饩羊     多歧亡羊     如狼牧羊     屠所牛羊     昌歜羊枣     歧路亡羊     爱礼存羊     牛羊勿践     牵羊担酒     狼羊同饲     瘦羊博士     素丝羔羊     羊入虎群     羊狠狼贪     羊续悬鱼     羊羔美酒     羊肠九曲     羊肠小道     羊肠鸟道     羊落虎口     羊触藩篱     羊质虎皮     羚羊挂角     羝羊触藩     肉袒牵羊     臧穀亡羊     臧谷亡羊     舍策追羊     虎入羊群     虎荡羊群     问羊知马     顺手牵羊     饿虎吞羊     饿虎扑羊     饿虎擒羊     驱羊战狼     驱羊攻虎     鸟道羊肠     鼠穴寻羊
,,Thành ngữ về khỉ (Thân),土龙沐猴     宰鸡教猴     尖嘴猴腮     弄鬼掉猴     杀鸡儆猴     杀鸡吓猴     杀鸡哧猴     杀鸡骇猴     沐猴而冠     沐猴衣冠     猴头猴脑     猴年马月     猿猴取月     轩鹤冠猴
,,Thành ngữ về chó (Tuất),丧家之狗     人模狗样     人面狗心     偷狗戏鸡     偷鸡摸狗     偷鸡盗狗     傫如丧狗     兔死狗烹     关门打狗     卖狗悬羊     土鸡瓦狗     土龙刍狗     声色狗马     嫁狗逐狗     嫁狗随狗     帮狗吃食     引狗入寨     打人骂狗     打狗看主     打落水狗     打鸡骂狗     指猪骂狗     指鸡骂狗     捉鸡骂狗     斗鸡养狗     斗鸡走狗     椎埋屠狗     椎埋狗窃     泥猪瓦狗     泥猪疥狗     泥猪癞狗     淮王鸡狗     烹狗藏弓     牛黄狗宝     狐朋狗党     狐朋狗友     狐群狗党     狐鸣狗盗     狗仗人势     狗仗官势     狗偷鼠窃     狗傍人势     狗党狐朋     狗党狐群     狗吠不惊     狗吠之惊     狗吠之警     狗吠非主     狗头军师     狗头鼠脑     狗尾续貂     狗尾貂续     狗屁不通     狗彘不如     狗彘不若     狗彘不食     狗心狗行     狗急跳墙     狗恶酒酸     狗拿耗子     狗皮膏药     狗盗鸡啼     狗盗鸡鸣     狗盗鼠窃     狗眼看人     狗续侯冠     狗续貂尾     狗续金貂     狗肺狼心     狗苟蝇营     狗血喷头     狗血淋头     狗行狼心     狗走狐淫     狗追耗子     狗逮老鼠     狗颠屁股     狗马声色     狼嗥狗叫     狼心狗肺     狼心狗行     猪卑狗险     猪朋狗友     画虎成狗     画虎类狗     白云苍狗     白衣苍狗     苍狗白云     苍狗白衣     获兔烹狗     藏弓烹狗     蝇营狗苟     行同狗彘     行同狗豨     行若狗彘     貂狗相属     贼头狗脑     跖狗吠尧     蹠狗吠尧     阿狗阿猫     阿猫阿狗     飞鹰走狗     饭牛屠狗     驴心狗肺     驴鸣狗吠     鸡肠狗肚     鸡零狗碎     鸡飞狗叫     鸡飞狗走     鸡飞狗跳     鸡鸣狗吠     鸡鸣狗盗     鼠偷狗盗     鼠盗狗窃     鼠窃狗偷     鼠窃狗盗     鼠窜狗盗
