thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
阿斗太子,ā dǒu tài zǐ,a đẩu thái tử,,Chính phụ,Tiêu cực,Thành ngữ thời Tam Quốc,"Chủ ngữ, Tân ngữ, Định ngữ","Ám chỉ người yếu đuối, kém cỏi, không có khả năng tự đứng vững, dù được giúp đỡ nhưng vẫn thất bại.",,,扶不起的阿斗,,"Cao Dương, Hồ Tuyết Nham toàn truyện – Đăng Hỏa Lâu Đài: ""Chồng là một A Đẩu thái tử, cho dù bạn là Gia Cát Lượng, cũng đành thở dài thôi.""",
哀兵必胜,āi bīng bì shèng, ai binh tất thắng ,,Chủ vị,Tích cực,Thành ngữ về quân sự, Vị ngữ,"Miêu tả tình huống khi một đội quân bị áp bức, nhưng lại vùng lên chiến đấu và giành chiến thắng.",不，哀兵必胜！不要乐，要哀，何小姐能弹《易水吟》的谱子吗？（《啼笑因缘续集》一０回）,"Không, binh lính mang nỗi buồn mới thắng trận! Đừng vui, phải buồn. ",师直为壮,骄兵必败,"Lão Tử – Chương 69: ""Họa không gì lớn hơn khinh địch, khinh địch thì mất bảo vật của ta, cho nên khi hai đội quân đối đầu, bên nào đau thương hơn thì thắng.""",
哀哀欲绝,āi āi yù jué,ai ai dục tuyệt,AABC,Bổ sung,Tích cực,Thành ngữ về nỗi đau lòng," Vị ngữ, Định ngữ, Bổ ngữ",Đau đớn tột cùng; khóc cạn nước mắt,那安太太进门，一眼便看见姑娘，哀哀欲绝的跪在那里……便一直的奔了姑娘去。（清 文康《儿女英雄传》第二十回）,"Bà An vừa bước vào cửa, lập tức trông thấy cô gái đang quỳ đó, đau đớn đến tột cùng... Bà liền lao thẳng về phía cô gái.",哀痛欲绝、哀天叫地,兴高采烈,"Thanh, Tào Tuyết Cần, Hồng Lâu Mộng – Hồi 13: ""Bảo Châu theo lễ của người con gái chưa chồng mà ở trước linh cữu khóc lóc bi thương đến muốn ngất đi.""",
哀声叹气,āi shēng tàn qì ,ai thanh thán khí ,,Liên hợp,Tiêu cực,," Vị ngữ, Tân ngữ, Định ngữ",Âm thanh thở dài phát ra do nỗi buồn hoặc đau đớn.,金玉舟《赵匡胤》第21章：“说罢他仍哀声叹气，愁容不展。”,"Nói xong, ông lại thở dài than thở, nét mặt vẫn u sầu.",咳声叹气,喜气洋洋、眉开眼笑,"Minh, Lăng Mông Sơ, Nhị Khắc Phách Án Kinh Kỳ – Quyển 38: ""Suốt ngày không để tâm suy nghĩ, chỉ thở than ai oán.""",
哀思如潮,āi sī rú cháo,ai tư như triều,,Chủ vị,Tích cực,Thành ngữ về nỗi đau lòng," Vị ngữ, Tân ngữ","Miêu tả nỗi buồn, cảm xúc xót xa dâng trào như sóng vỗ.",丈夫遭遇不幸，她哀思如潮,"Chồng gặp bất hạnh, nàng đau buồn như sóng trào.",痛不欲生,欣喜若狂,"Kinh kịch Bình Nguyên Tác Chiến – Hồi 5: ""Triệu Dũng Cương (hát) Nỗi buồn như thủy triều nước mắt rơi, đồng bằng có bờ mà hận không cùng.""",
哀痛欲绝,āi tòng yù jué ,ai thống dục tuyệt ,,Bổ sung,Tích cực,Thành ngữ về nỗi đau lòng," Định ngữ, Bổ ngữ",Diễn tả nỗi đau buồn đến tuyệt vọng,宝庆给大哥唱了一曲挽歌，直唱得泣不成声，哀痛欲绝。（老舍《鼓书艺人》十七）,"Bảo Khánh hát cho anh trai một khúc ai ca, vừa hát vừa nghẹn ngào không thành tiếng, đau đớn đến tột cùng.",悲痛欲绝、悲不自胜,欢欣若狂、兴高采烈、欣喜若狂,"Thanh, Tào Tuyết Cần, Hồng Lâu Mộng – Hồi 13: ""Bảo Châu theo lễ của người con gái chưa chồng mà ở trước linh cữu khóc lóc bi thương đến muốn ngất đi.""",
唉声叹气,āi shēng tàn qì,ai thanh thán khí ,,Liên hợp,Tiêu cực,Thành ngữ về nỗi đau lòng," Vị ngữ,Trạng ngữ, Bổ ngữ","Thở dài vì cảm giác buồn bã, u uất hoặc đau đớn.",我看你脸上一团私欲愁闷气色！这会子又唉声叹气，你那些还不足，还不自在？（清 曹雪芹《红楼梦》第三十三回）,"Ta thấy trên mặt ngươi đầy vẻ u sầu vì tư dục! Giờ lại còn thở dài than thở, những thứ ngươi có vẫn chưa đủ, vẫn chưa thấy thỏa mãn sao?",长吁短叹、垂头丧气、无精打采,喜眉笑眼、喜笑颜开、喜气洋洋,"Minh, Lăng Mông Sơ, Nhị Khắc Phách Án Kinh Kỳ – Quyển 38: ""Suốt ngày không để tâm suy nghĩ, chỉ thở than ai oán.""",
挨冻受饿,ái dòng shòu è, ai đống thụ ngạ ,,Liên hợp,Tiêu cực,Thành ngữ về cảnh nghèo khó,"  Vị ngữ, Tân ngữ, Định ngữ","Miêu tả tình trạng nghèo đói, không có cơm ăn áo mặc.",他挨冻受饿就是为了见她一面,Anh chịu đói chịu rét chỉ để được gặp nàng một lần.,忍饥挨饿、挨饿受冻,丰衣足食,"Thanh, Tào Tuyết Cần, Hồng Lâu Mộng – Hồi 100: ""Mẹ cả đời này nghĩ lại cũng không đến nỗi chịu đói chịu rét.""",
挨家按户,āi jiā àn hù,ai gia án hộ,,Liên hợp,Tích cực,,"Trạng ngữ, Định ngữ","Từng nhà từng người không bỏ sót, tất cả đều được quan tâm.",她挨家按户地发送传单,Cô ấy đi từng nhà phát tờ rơi.,挨家挨户、挨门逐户,,"Lão Xá, Tứ Thế Đồng Đường – Chương 74: ""Từ khi ông ấy làm phó huyện trưởng, theo Bạch Tuần Trưởng đến từng nhà thu đồng sắt, tiếng tốt của ông ấy giảm sút nhiều.""",
挨家挨户,āijiā āihù,ai gia ai hộ,ABAC,Liên hợp,Tích cực,," Vị ngữ, Định ngữ","Từng nhà từng người không bỏ sót, tất cả đều được quan tâm.",自从他作了副县长，随着白巡长挨家挨户地收铜铁，他的美誉便降落了许多。（老舍《四世同堂》七四）,"Kể từ khi ông làm phó huyện trưởng, cùng với viên trưởng Bạch đi từng nhà thu gom đồng và sắt, danh tiếng của ông đã giảm sút rất nhiều.",挨家逐户、挨门挨户、挨门逐户,茫无头绪,"Lão Xá, Tứ Thế Đồng Đường – Chương 74: ""Từ khi ông ấy làm phó huyện trưởng, theo Bạch Tuần Trưởng đến từng nhà thu đồng sắt, tiếng tốt của ông ấy giảm sút nhiều.""",
